BeeDayIconName,SymbolId,Provider,SourceName,Folder,Category,Variant,License
Add,add,Lucide,plus,actions,Actions,Outline-Stroke2,ISC
Edit,edit,Lucide,pencil,actions,Actions,Outline-Stroke2,ISC
Delete,delete,Lucide,trash-2,actions,Actions,Outline-Stroke2,ISC
Save,save,Lucide,save,actions,Actions,Outline-Stroke2,ISC
Close,close,Lucide,x,actions,Actions,Outline-Stroke2,ISC
Search,search,Lucide,search,actions,Actions,Outline-Stroke2,ISC
More,more,Lucide,ellipsis,actions,Actions,Outline-Stroke2,ISC
Complete,complete,Lucide,circle-check,actions,Actions,Outline-Stroke2,ISC
Filter,filter,Lucide,list-filter,actions,Actions,Outline-Stroke2,ISC
Calendar,calendar,Lucide,calendar-days,actions,Actions,Outline-Stroke2,ISC
Repeat,repeat,Lucide,repeat-2,actions,Actions,Outline-Stroke2,ISC
Tag,tag,Lucide,tag,actions,Actions,Outline-Stroke2,ISC
Cancel,cancel,Lucide,circle-x,actions,Actions,Outline-Stroke2,ISC
Check,check,Lucide,check,feedback,Feedback,Outline-Stroke2,ISC
Habit,habit,Lucide,activity,habits,Activities,Outline-Stroke2,ISC
RecurringTask,recurring-task,Lucide,list-checks,tasks,Activities,Outline-Stroke2,ISC
Project,project,Lucide,folder-kanban,projects,Activities,Outline-Stroke2,ISC
Todo,todo,Lucide,list-todo,tasks,Activities,Outline-Stroke2,ISC
Warning,warning,Lucide,triangle-alert,feedback,Feedback,Outline-Stroke2,ISC
Information,information,Lucide,info,feedback,Feedback,Outline-Stroke2,ISC
Success,success,Lucide,circle-check-big,feedback,Feedback,Outline-Stroke2,ISC
ValidationError,validation-error,Lucide,circle-alert,feedback,Feedback,Outline-Stroke2,ISC
Loading,loading,Lucide,loader-circle,feedback,Feedback,Outline-Stroke2,ISC
Featured,featured,Lucide,star,feedback,Feedback,Outline-Stroke2,ISC
Select,select,Lucide,chevrons-up-down,forms,Forms,Outline-Stroke2,ISC
CheckboxUnchecked,checkbox-unchecked,Lucide,square,forms,Forms,Outline-Stroke2,ISC
CheckboxChecked,checkbox-checked,Lucide,square-check-big,forms,Forms,Outline-Stroke2,ISC
Account,account,Lucide,user-round-cog,profile,Navigation,Outline-Stroke2,ISC
Language,language,Lucide,languages,navigation,Navigation,Outline-Stroke2,ISC
ChevronDown,chevron-down,Lucide,chevron-down,navigation,Navigation,Outline-Stroke2,ISC
ChevronLeft,chevron-left,Lucide,chevron-left,navigation,Navigation,Outline-Stroke2,ISC
ChevronRight,chevron-right,Lucide,chevron-right,navigation,Navigation,Outline-Stroke2,ISC
Library,library,Lucide,book-open,books,Navigation,Outline-Stroke2,ISC
Daily,daily,Lucide,calendar-check,navigation,Navigation,Outline-Stroke2,ISC
Profile,profile,Lucide,circle-user-round,profile,Navigation,Outline-Stroke2,ISC
Donate,donate,Lucide,heart-handshake,navigation,Navigation,Outline-Stroke2,ISC
Logout,logout,Lucide,log-out,navigation,Navigation,Outline-Stroke2,ISC
Menu,menu,Lucide,menu,navigation,Navigation,Outline-Stroke2,ISC
Support,support,Lucide,life-buoy,navigation,Navigation,Outline-Stroke2,ISC
Progress,progress,Lucide,chart-no-axes-column-increasing,statistics,Statistics,Outline-Stroke2,ISC
Experience,experience,Lucide,zap,statistics,Statistics,Outline-Stroke2,ISC
Level,level,Lucide,badge,statistics,Statistics,Outline-Stroke2,ISC
Wallet,wallet,Lucide,wallet-cards,statistics,Statistics,Outline-Stroke2,ISC
Income,income,Lucide,trending-up,statistics,Statistics,Outline-Stroke2,ISC
Expense,expense,Lucide,trending-down,statistics,Statistics,Outline-Stroke2,ISC
Statistics,statistics,Lucide,chart-no-axes-column,statistics,Statistics,Outline-Stroke2,ISC
TrendUp,trend-up,Lucide,trending-up,statistics,Statistics,Outline-Stroke2,ISC
TrendDown,trend-down,Lucide,trending-down,statistics,Statistics,Outline-Stroke2,ISC
Completed,completed,Lucide,list-checks,statistics,Statistics,Outline-Stroke2,ISC
Pending,pending,Lucide,clock-3,statistics,Statistics,Outline-Stroke2,ISC
Settings,settings,Lucide,settings,system,System,Outline-Stroke2,ISC
Lock,lock,Lucide,lock,system,System,Outline-Stroke2,ISC
Facebook,facebook,Devicon,facebook-original,social,Social,Original,MIT
Instagram,instagram,OfficialBrand,instagram,social,Social,Brand,CC0-1.0
YouTube,youtube,OfficialBrand,youtube,social,Social,Brand,CC0-1.0
X,x,OfficialBrand,x,social,Social,Brand,CC0-1.0
LinkedIn,linkedin,Devicon,linkedin-original,social,Social,Original,MIT
GitHub,github,Devicon,github-original,social,Social,Original,MIT
